customer_id,age,gender,country,subscription_type,monthly_charges,tenure_months,num_profiles,device,payment_method,autopay_enabled,watch_hours_per_week,favorite_genre,avg_rating_given,support_tickets_raised,last_login_days_ago,promo_used,churn
CUST100000,51,Female,USA,Basic,206,45,2,Smart TV,Debit Card,Yes,2.7,Horror,3.9,0,45,No,No
CUST100001,64,Female,UK,Standard,507,28,5,Mobile,PayPal,Yes,1.9,Documentary,3.0,2,26,No,Yes
CUST100002,41,Male,Canada,Basic,208,12,1,Mobile,Debit Card,Yes,7.0,Anime,1.7,1,69,No,No
CUST100003,27,Male,USA,Basic,195,35,5,Smart TV,PayPal,Yes,9.0,Thriller,3.7,0,30,Yes,No
CUST100004,55,Female,Australia,Standard,496,22,5,Laptop,Debit Card,Yes,8.0,Thriller,3.8,1,40,No,No
CUST100005,20,Male,UK,Standard,501,39,1,Smart TV,Credit Card,Yes,3.5,Horror,1.9,3,44,No,No
CUST100006,73,Male,USA,Premium,656,1,1,Mobile,Credit Card,Yes,5.5,Anime,4.2,0,35,No,No
CUST100007,33,Male,India,Standard,499,37,1,Smart TV,UPI,Yes,8.2,Action,2.8,0,1,Yes,No
CUST100008,51,Male,USA,Premium,647,21,4,Laptop,Debit Card,Yes,1.0,Comedy,1.7,0,61,No,No
CUST100009,70,Female,France,Premium,639,1,1,Mobile,Debit Card,Yes,2.1,Romance,3.6,1,20,No,No
CUST100010,31,Female,USA,Premium,646,4,5,Laptop,UPI,No,17.7,Documentary,3.4,1,33,No,No
CUST100011,35,Male,India,Standard,500,32,1,Smart TV,Credit Card,No,3.4,Comedy,1.7,1,85,No,No
CUST100012,23,Female,UK,Basic,190,58,2,Smart TV,Credit Card,Yes,12.9,Horror,4.5,1,12,No,No
CUST100013,23,Female,USA,Premium,653,1,1,Smart TV,Debit Card,No,2.3,Anime,4.4,0,18,Yes,No
CUST100014,36,Female,India,Basic,206,13,1,Smart TV,PayPal,Yes,0.3,Action,4.3,1,32,No,Yes
CUST100015,65,Male,USA,Basic,205,46,3,Smart TV,UPI,Yes,5.6,Anime,2.6,0,48,No,No
CUST100016,48,Male,Canada,Standard,503,47,5,Mobile,Net Banking,No,17.8,Action,4.3,1,2,No,No
CUST100017,52,Other,Canada,Basic,208,17,5,Mobile,Debit Card,Yes,13.7,Documentary,4.4,0,37,Yes,No
CUST100018,36,Female,USA,Premium,658,12,2,Laptop,Debit Card,Yes,2.3,Comedy,5.0,0,82,No,No
CUST100019,15,Male,UK,Standard,497,7,4,Mobile,Credit Card,No,19.3,Action,4.8,0,70,Yes,No
CUST100020,34,Male,Japan,Standard,491,55,3,Mobile,Net Banking,No,5.2,Drama,2.5,1,14,No,No
CUST100021,65,Male,USA,Standard,508,51,2,Gaming Console,UPI,No,0.4,Thriller,1.8,1,37,Yes,No
CUST100022,14,Female,USA,Standard,507,55,2,Mobile,UPI,Yes,0.2,Comedy,2.2,1,24,No,No
CUST100023,36,Female,USA,Basic,206,3,5,Mobile,Net Banking,No,5.3,Documentary,3.0,2,60,Yes,Yes
CUST100024,56,Female,UK,Standard,508,50,3,Gaming Console,Debit Card,Yes,6.3,Action,4.2,0,85,No,No
CUST100025,42,Male,Brazil,Standard,496,26,5,Gaming Console,Debit Card,No,0.7,Action,3.9,0,86,No,No
CUST100026,50,Female,India,Standard,489,31,4,Mobile,UPI,Yes,20.4,Action,4.2,0,49,No,No
CUST100027,14,Female,Brazil,Premium,653,36,5,Mobile,PayPal,Yes,10.1,Thriller,2.5,1,9,No,No
CUST100028,72,Male,India,Basic,207,26,1,Mobile,UPI,Yes,12.9,Comedy,2.0,2,49,No,No
